Tahun,Provinsi,label,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,region_type,nama_klaster,membership_dominan,kepastian
2024,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Lampung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Maluku,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2024,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Nusa Tenggara Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Nusa Tenggara Timur,3,0.4633663680855395,0.0,0.0,0.5366336319144606,boundary,Klaster 4,0.5366,Boundary (0.54)
2024,Papua,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Papua Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2024,Papua Barat Daya,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2024,Papua Pegunungan,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2024,Papua Selatan,0,0.5000587198132206,0.0,0.0,0.4999412801867794,boundary,Klaster 1,0.5001,Boundary (0.50)
2024,Papua Tengah,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2024,Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sulawesi Tengah,3,0.4371351261804716,0.0,0.0,0.5628648738195284,boundary,Klaster 4,0.5629,Boundary (0.56)
2024,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sumatera Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sumatera Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2024,Sumatera Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Aceh,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2025,Banten,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2025,Bengkulu,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,DKI Jakarta,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2025,Daerah Istimewa Yogyakarta,0,0.5204756086701868,0.4795243913298131,0.0,0.0,boundary,Klaster 1,0.5205,Boundary (0.52)
2025,Gorontalo,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Jambi,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Jawa Barat,1,0.4221492009067908,0.5778507990932091,0.0,0.0,boundary,Klaster 2,0.5779,Boundary (0.58)
2025,Jawa Tengah,1,0.4658853024232581,0.5341146975767418,0.0,0.0,boundary,Klaster 2,0.5341,Boundary (0.53)
2025,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Lampung,1,0.4844070010139684,0.5155929989860316,0.0,0.0,boundary,Klaster 2,0.5156,Boundary (0.52)
2025,Maluku,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2025,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Nusa Tenggara Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Papua,3,0.4962910146263966,0.0,0.0,0.5037089853736034,boundary,Klaster 4,0.5037,Boundary (0.50)
2025,Papua Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2025,Papua Barat Daya,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Papua Pegunungan,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2025,Papua Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Papua Tengah,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2025,Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2025,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
