run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
76,118,18,0.017550299991853535,0.0009750166662140853,47.462623427014975,4,"0,1,2,3",210,44,1.1771653543307086,0.1732283464566929,0.6968503937007874,2,177,24,51,177,2,False
77,119,18,0.019141400000080466,0.0010634111111155814,44.36377058734122,4,"0,1,2,3",193,61,1.2519685039370079,0.24015748031496062,0.531496062992126,21,135,23,21,75,135,False
78,120,13,0.01284720003604889,0.0009882461566191453,44.48569017341078,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,13,25,43,173,False
79,121,21,0.02426000009290874,0.001155238099662321,44.5383036505352,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.5354330708661418,21,136,22,136,75,21,False
80,122,15,0.014817300019785762,0.0009878200013190507,44.485690173410674,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,173,43,13,25,False
81,123,18,0.017247000010684133,0.0009581666672602296,43.96565657571054,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,47,25,13,169,False
82,124,14,0.015212099999189377,0.0010865785713706697,47.45391427382795,4,"0,1,2,3",195,59,1.2322834645669292,0.23228346456692914,0.562992125984252,6,143,21,6,143,84,False
83,125,13,0.013763700029812753,0.0010587461561394425,44.50077038382196,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,23,20,76,False
84,126,29,0.0305259000742808,0.0010526172439407173,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,13,25,181,False
85,127,17,0.040586400078609586,0.0023874352987417404,44.50077038382121,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,20,76,23,False
