combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
82,4,25,100,1.0,0.95,2.0,0.5,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
82,5,25,100,1.0,0.95,2.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
83,1,25,100,1.0,0.95,2.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
83,2,25,100,1.0,0.95,2.0,1.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
83,3,25,100,1.0,0.95,2.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
83,4,25,100,1.0,0.95,2.0,1.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
83,5,25,100,1.0,0.95,2.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
84,1,25,100,1.0,0.95,2.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
84,2,25,100,1.0,0.95,2.0,2.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
84,3,25,100,1.0,0.95,2.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
84,4,25,100,1.0,0.95,2.0,2.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
84,5,25,100,1.0,0.95,2.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
85,1,25,100,1.0,0.97,0.5,0.1,43,19,48.434921382758105,0.5118110236220472,0.3188976377952756,False
85,2,25,100,1.0,0.97,0.5,0.1,44,35,45.37324758626837,0.7125984251968503,0.10236220472440945,False
85,3,25,100,1.0,0.97,0.5,0.1,45,17,49.48491554217305,0.7677165354330708,0.09055118110236221,False
85,4,25,100,1.0,0.97,0.5,0.1,46,55,44.27767249441294,0.5393700787401575,0.2440944881889764,False
85,5,25,100,1.0,0.97,0.5,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
86,1,25,100,1.0,0.97,0.5,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
86,2,25,100,1.0,0.97,0.5,0.5,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
86,3,25,100,1.0,0.97,0.5,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
86,4,25,100,1.0,0.97,0.5,0.5,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
86,5,25,100,1.0,0.97,0.5,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
87,1,25,100,1.0,0.97,0.5,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
87,2,25,100,1.0,0.97,0.5,1.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
87,3,25,100,1.0,0.97,0.5,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
87,4,25,100,1.0,0.97,0.5,1.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
87,5,25,100,1.0,0.97,0.5,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
88,1,25,100,1.0,0.97,0.5,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
88,2,25,100,1.0,0.97,0.5,2.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
88,3,25,100,1.0,0.97,0.5,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
88,4,25,100,1.0,0.97,0.5,2.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
88,5,25,100,1.0,0.97,0.5,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
89,1,25,100,1.0,0.97,1.0,0.1,43,32,48.37621476418868,0.5078740157480315,0.3188976377952756,False
89,2,25,100,1.0,0.97,1.0,0.1,44,36,45.37324758626837,0.7125984251968503,0.10236220472440945,False
89,3,25,100,1.0,0.97,1.0,0.1,45,22,49.48491554217299,0.7677165354330708,0.09055118110236221,False
89,4,25,100,1.0,0.97,1.0,0.1,46,27,45.37324758626837,0.7125984251968503,0.10236220472440945,False
89,5,25,100,1.0,0.97,1.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
90,1,25,100,1.0,0.97,1.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
90,2,25,100,1.0,0.97,1.0,0.5,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
90,3,25,100,1.0,0.97,1.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
90,4,25,100,1.0,0.97,1.0,0.5,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
90,5,25,100,1.0,0.97,1.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
91,1,25,100,1.0,0.97,1.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
91,2,25,100,1.0,0.97,1.0,1.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
91,3,25,100,1.0,0.97,1.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
91,4,25,100,1.0,0.97,1.0,1.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
91,5,25,100,1.0,0.97,1.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
92,1,25,100,1.0,0.97,1.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
92,2,25,100,1.0,0.97,1.0,2.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
92,3,25,100,1.0,0.97,1.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
92,4,25,100,1.0,0.97,1.0,2.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
92,5,25,100,1.0,0.97,1.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
93,1,25,100,1.0,0.97,2.0,0.1,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
93,2,25,100,1.0,0.97,2.0,0.1,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
93,3,25,100,1.0,0.97,2.0,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
93,4,25,100,1.0,0.97,2.0,0.1,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
93,5,25,100,1.0,0.97,2.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
94,1,25,100,1.0,0.97,2.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
94,2,25,100,1.0,0.97,2.0,0.5,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
94,3,25,100,1.0,0.97,2.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
94,4,25,100,1.0,0.97,2.0,0.5,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
94,5,25,100,1.0,0.97,2.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
95,1,25,100,1.0,0.97,2.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
95,2,25,100,1.0,0.97,2.0,1.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
95,3,25,100,1.0,0.97,2.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
95,4,25,100,1.0,0.97,2.0,1.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
95,5,25,100,1.0,0.97,2.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
96,1,25,100,1.0,0.97,2.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
