run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
53,95,200,0.2184899999992922,0.001092449999996461,20.143442706102558,4,"0,1,2,3",77,8,126,43
54,96,200,0.2236058000707999,0.0011180290003539994,20.143439356426867,4,"0,1,2,3",8,43,77,126
55,97,200,0.2200263999402523,0.0011001319997012615,20.143438700067826,4,"0,1,2,3",126,43,77,8
56,98,200,0.22306979994755238,0.001115348999737762,20.143433848787936,4,"0,1,2,3",8,77,126,43
57,99,200,0.22035279998090118,0.001101763999904506,20.143421235213644,4,"0,1,2,3",126,77,44,7
58,100,200,0.22135080001316965,0.0011067540000658483,20.143431297683172,4,"0,1,2,3",77,43,126,8
59,101,200,0.22081720002461225,0.0011040860001230613,20.143412608486177,4,"0,1,2,3",2,126,77,49
60,102,200,0.2211769000859931,0.0011058845004299656,20.143440788915136,4,"0,1,2,3",126,43,8,77
61,103,200,0.22234849992673844,0.0011117424996336923,20.14342692832325,4,"0,1,2,3",77,126,44,7
62,104,200,0.22058249998372048,0.0011029124999186023,20.143432846104155,4,"0,1,2,3",77,8,126,43
