Run,Metode,k,Xie-Beni,File,File_Membership
7,FA-FRCM,3,17794816.368354674,fafrcm_k3_run7.csv,fafrcm_k3_run7.csv
8,FA-FRCM,3,36044526.23143081,fafrcm_k3_run8.csv,fafrcm_k3_run8.csv
9,FA-FRCM,3,10126337.168395763,fafrcm_k3_run9.csv,fafrcm_k3_run9.csv
10,FA-FRCM,3,35017940.89643825,fafrcm_k3_run10.csv,fafrcm_k3_run10.csv
11,FA-FRCM,3,8313919.126129644,fafrcm_k3_run11.csv,fafrcm_k3_run11.csv
12,FA-FRCM,3,8313919.126129644,fafrcm_k3_run12.csv,fafrcm_k3_run12.csv
13,FA-FRCM,3,7928477.409910467,fafrcm_k3_run13.csv,fafrcm_k3_run13.csv
14,FA-FRCM,3,5604362.652191871,fafrcm_k3_run14.csv,fafrcm_k3_run14.csv
15,FA-FRCM,3,39761757.311688595,fafrcm_k3_run15.csv,fafrcm_k3_run15.csv
16,FA-FRCM,3,34879780.09247368,fafrcm_k3_run16.csv,fafrcm_k3_run16.csv
17,FA-FRCM,3,100942879.43053743,fafrcm_k3_run17.csv,fafrcm_k3_run17.csv
18,FA-FRCM,3,35272495.61711731,fafrcm_k3_run18.csv,fafrcm_k3_run18.csv
19,FA-FRCM,3,8175289.414736332,fafrcm_k3_run19.csv,fafrcm_k3_run19.csv
20,FA-FRCM,3,11878891.964352021,fafrcm_k3_run20.csv,fafrcm_k3_run20.csv
21,FA-FRCM,3,8175289.414736332,fafrcm_k3_run21.csv,fafrcm_k3_run21.csv
22,FA-FRCM,3,211424615.7304536,fafrcm_k3_run22.csv,fafrcm_k3_run22.csv
23,FA-FRCM,3,10126337.168395763,fafrcm_k3_run23.csv,fafrcm_k3_run23.csv
24,FA-FRCM,3,69867606.93205109,fafrcm_k3_run24.csv,fafrcm_k3_run24.csv
25,FA-FRCM,3,6430620.909642672,fafrcm_k3_run25.csv,fafrcm_k3_run25.csv
26,FA-FRCM,3,54966942.59059348,fafrcm_k3_run26.csv,fafrcm_k3_run26.csv
27,FA-FRCM,3,24847795.674210243,fafrcm_k3_run27.csv,fafrcm_k3_run27.csv
28,FA-FRCM,3,143644867.8728889,fafrcm_k3_run28.csv,fafrcm_k3_run28.csv
29,FA-FRCM,3,8252406.107633431,fafrcm_k3_run29.csv,fafrcm_k3_run29.csv
30,FA-FRCM,3,9568660.146170985,fafrcm_k3_run30.csv,fafrcm_k3_run30.csv
31,FA-FRCM,3,42246688.14589908,fafrcm_k3_run31.csv,fafrcm_k3_run31.csv
32,FA-FRCM,3,36802515.32095221,fafrcm_k3_run32.csv,fafrcm_k3_run32.csv
33,FA-FRCM,3,24712701.102048796,fafrcm_k3_run33.csv,fafrcm_k3_run33.csv
34,FA-FRCM,3,177253474.17718703,fafrcm_k3_run34.csv,fafrcm_k3_run34.csv
35,FA-FRCM,3,35272495.61711731,fafrcm_k3_run35.csv,fafrcm_k3_run35.csv
