run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
75,117,14,0.015518900007009506,0.0011084928576435363,46.43671213398958,4,"0,1,2,3",192,62,1.2480314960629921,0.2440944881889764,0.5669291338582677,5,144,144,21,5,84,False
76,118,17,0.01546939997933805,0.0009099647046669441,47.46262342705742,4,"0,1,2,3",210,44,1.1771653543307086,0.1732283464566929,0.6968503937007874,2,177,24,51,177,2,False
77,119,17,0.017495599982794374,0.001029152940164375,44.36377058735271,4,"0,1,2,3",193,61,1.2519685039370079,0.24015748031496062,0.531496062992126,21,135,23,21,75,135,False
78,120,12,0.014707700000144541,0.0012256416666787118,44.485690173417275,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,13,25,43,173,False
79,121,19,0.02117530000396073,0.0011144894738926699,44.538303650726014,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.5354330708661418,21,136,22,136,75,21,False
80,122,14,0.013501600013114512,0.0009644000009367508,44.48569017341495,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,173,43,13,25,False
81,123,16,0.01656869996804744,0.001035543748002965,43.965656575837556,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,47,25,13,169,False
82,124,13,0.013457200024276972,0.0010351692326366901,47.45391427384293,4,"0,1,2,3",195,59,1.2322834645669292,0.23228346456692914,0.562992125984252,6,143,21,6,143,84,False
83,125,12,0.012785099970642477,0.0010654249975535397,44.50077038385477,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,23,20,76,False
84,126,28,0.02719029999570921,0.0009710821427039004,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,13,25,181,False
85,127,16,0.016624299983959645,0.0010390187489974778,44.50077038383569,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,20,76,23,False
86,128,13,0.013133100001141429,0.0010102384616262638,44.500770383828026,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,23,76,20,135,False
87,129,16,0.016443900007288903,0.0010277437504555564,44.500770383828005,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,23,76,20,135,False
88,130,17,0.018845100014004856,0.0011085352949414622,45.373247586270814,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,25,35,False
89,131,42,0.05084250000072643,0.0012105357143030102,44.32715703982369,4,"0,1,2,3",192,62,1.2559055118110236,0.2440944881889764,0.5354330708661418,21,136,136,75,21,22,False
90,132,46,0.04210020002210513,0.000915221739610981,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,13,25,181,False
91,133,17,0.016192800016142428,0.0009525176480083781,43.96565657580592,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,13,169,25,47,False
92,134,45,0.04305590002331883,0.0009567977782959739,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,181,25,35,13,False
93,135,36,0.03409580001607537,0.0009471055560020937,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,35,181,25,False
94,136,19,0.020101699978113174,0.0010579842093743775,44.557491266368295,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.5433070866141733,21,138,22,21,73,138,False
95,137,14,0.013370200002100319,0.0009550142858643085,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,25,181,13,False
96,138,18,0.017349100031424314,0.0009638388906346841,45.670770900020905,4,"0,1,2,3",207,47,1.18503937007874,0.18503937007874016,0.7086614173228346,5,180,19,180,50,5,False
97,139,18,0.0186280999914743,0.0010348944439707946,44.335215727013875,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,135,21,23,75,False
98,140,14,0.014030400023330003,0.0010021714302378573,44.48569017343711,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,13,25,43,173,False
99,141,14,0.016571000043768436,0.001183642860269174,44.363770587370084,4,"0,1,2,3",193,61,1.2519685039370079,0.24015748031496062,0.531496062992126,21,135,21,23,75,135,False
100,142,20,0.021244100003968924,0.0010622050001984462,43.96565657583759,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,13,169,47,25,False
TOTAL_RUNTIME,,,2.732828799984418,,,,,,,,,,,,,,,,
