run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
43,85,100,23,123,1.7226484999991953,0.014005272357717036,39.290623139875194,55.08700095678489,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,14,178,62
44,86,100,17,117,1.6828356999903917,0.01438321111102899,45.0387176149287,52.42686747297623,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,21,133,100
45,87,100,27,127,1.4000545999733731,0.011024051968294276,70.43243116077718,63.54967135932016,3,"0,1,2",224,30,0.11811023622047244,2,211,0.8307086614173228,True,211,41,2
46,88,100,56,156,1.8023266999516636,0.011553376281741433,41.93860038962151,37.0603279371427,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,30,109,115
47,89,100,14,114,1.6333823000313714,0.014327914912555889,50.14691171277448,49.265599937175786,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,51,178
48,90,100,14,114,1.5291676999768242,0.01341375175418267,57.77369984717531,58.488335907780964,3,"0,1,2",222,32,0.12598425196850394,4,196,0.7716535433070866,False,196,54,4
49,91,100,20,120,1.6191603998886421,0.013493003332405351,52.833361404044005,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,14,178,62
50,92,100,15,115,1.7635124999796972,0.01533489130417128,40.69262270332857,52.672486075084265,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
51,93,100,97,197,1.9942791000939906,0.010123244162913658,41.41908042598587,37.060327937140734,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,30,109
52,94,100,39,139,1.9870609999634326,0.014295402877434766,37.38688113119755,52.67248607508439,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
53,95,100,28,128,1.900951600051485,0.014851184375402227,40.08594569300065,52.88679713734268,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,198,32,24
54,96,100,16,116,1.5362855000421405,0.013243840517604659,58.13261781510272,55.074060046411404,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,56,184,14
